"REF_DATE","GEO","DGUID","Indicators","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A11124","Total demand","Vehicle repairs and parts","Dollars","81","millions","6","v1001801220","1.2.10","4412.5","","","","1"
"2014","Canada","2016A11124","Total demand","Vehicle fuel","Dollars","81","millions","6","v1001801221","1.2.11","8164.4","","","","1"
"2014","Canada","2016A11124","Total demand","Total accommodation","Dollars","81","millions","6","v1001801222","1.2.12","11786.0","","","","1"
"2014","Canada","2016A11124","Total demand","Hotels","Dollars","81","millions","6","v1001801223","1.2.13","9336.1","","","","1"
"2014","Canada","2016A11124","Total demand","Motels","Dollars","81","millions","6","v1001801224","1.2.14","753.9","","","","1"
"2014","Canada","2016A11124","Total demand","Camping","Dollars","81","millions","6","v1001801225","1.2.15","964.5","","","","1"
"2014","Canada","2016A11124","Total demand","Other accommodation","Dollars","81","millions","6","v1001801226","1.2.16","731.5","","","","1"
"2014","Canada","2016A11124","Total demand","Total food and beverage services","Dollars","81","millions","6","v1001801227","1.2.17","12791.0","","","","1"
"2014","Canada","2016A11124","Total demand","Meals from accommodation","Dollars","81","millions","6","v1001848976","1.2.18","640.6","","","","1"
"2014","Canada","2016A11124","Total demand","Meals from restaurants","Dollars","81","millions","6","v1001801228","1.2.19","9595.8","","","","1"
"2014","Canada","2016A11124","Total demand","Alcoholic beverages from accommodation","Dollars","81","millions","6","v1001801229","1.2.20","348.3","","","","1"
"2014","Canada","2016A11124","Total demand","Alcoholic beverages from restaurants","Dollars","81","millions","6","v1001801230","1.2.21","1553.2","","","","1"
"2014","Canada","2016A11124","Total demand","Meals and alcoholic beverages from other tourism industries","Dollars","81","millions","6","v1001801231","1.2.22","653.1","","","","1"
"2014","Canada","2016A11124","Total demand","Total other tourism products","Dollars","81","millions","6","v1001801232","1.2.23","13833.0","","","","1"
